Account,trade_date,daily_pnl,trade_count,daily_volume_usd,avg_trade_size,win_rate,long_ratio,classification,value,regime,activity_segment_x,activity_segment_y,activity_segment,next_day_pnl,next_day_profitable
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,900880.13,5089.718248587571,0.0,0.0,Extreme Greed,76.0,Greed,High Activity,High Activity,High Activity,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,542413.1799999999,7976.664411764705,0.0,0.0,Extreme Greed,90.0,Greed,High Activity,High Activity,High Activity,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,372495.558,9312.38895,0.0,0.0,Extreme Greed,83.0,Greed,High Activity,High Activity,High Activity,-21227.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,338240.0,28186.666666666668,0.0,1.0,Extreme Greed,94.0,Greed,High Activity,High Activity,High Activity,1603.1,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,383164.03599999996,14191.260592592591,0.4444444444444444,0.4444444444444444,Extreme Greed,79.0,Greed,High Activity,High Activity,High Activity,-132271.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,1316799.98,16058.536341463414,0.0,1.0,Extreme Greed,77.0,Greed,High Activity,High Activity,High Activity,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,783017.216,34044.2267826087,0.0,0.0,Extreme Greed,84.0,Greed,High Activity,High Activity,High Activity,-175611.00005600002,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,445408.124,13497.21587878788,0.0,1.0,Greed,72.0,Greed,High Activity,High Activity,High Activity,71393.964098,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,4409449.108,9482.68625376344,0.04946236559139785,0.24086021505376345,Extreme Greed,77.0,Greed,High Activity,High Activity,High Activity,40218.599998,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,411354.958,8065.783490196078,0.5490196078431373,0.5490196078431373,Extreme Greed,76.0,Greed,High Activity,High Activity,High Activity,76710.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,406423.442,40642.3442,0.9,0.9,Greed,60.0,Greed,High Activity,High Activity,High Activity,101011.685664,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,12733080.162,15176.496021454113,0.30512514898688914,0.4171632896305125,Fear,44.0,Fear,High Activity,High Activity,High Activity,375620.270243,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,4826304.218,9089.085156308853,0.15630885122410546,0.20903954802259886,Greed,72.0,Greed,High Activity,High Activity,High Activity,44400.9058,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,4205789.054,20027.56692380952,0.37142857142857144,0.37142857142857144,Neutral,54.0,Neutral,High Activity,High Activity,High Activity,30897.0887,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,1128767.358,8005.442255319149,0.9361702127659575,0.9361702127659575,Neutral,46.0,Neutral,High Activity,High Activity,High Activity,55086.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,1242490.552,25885.219833333333,0.3333333333333333,0.3333333333333333,Fear,43.0,Fear,High Activity,High Activity,High Activity,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,340449.25399999996,56741.542333333324,0.0,0.0,Neutral,47.0,Neutral,High Activity,High Activity,High Activity,10152.12224,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,1224205.362,20749.243423728814,0.5254237288135594,0.5254237288135594,Neutral,49.0,Neutral,High Activity,High Activity,High Activity,115445.395538,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,2065442.294,9431.243351598174,0.4246575342465753,0.4246575342465753,Fear,25.0,Fear,High Activity,High Activity,High Activity,115287.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,644380.434,11716.007890909092,0.01818181818181818,0.01818181818181818,Extreme Fear,16.0,Fear,High Activity,High Activity,High Activity,9482.221441,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,134360.89,2985.797555555556,0.8,0.8,Extreme Fear,20.0,Fear,High Activity,High Activity,High Activity,533974.662903,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,4610954.168,7193.376237129484,0.8424336973478939,0.8424336973478939,Fear,33.0,Fear,High Activity,High Activity,High Activity,40200.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,212922.36599999998,42584.47319999999,0.8,0.8,Neutral,45.0,Neutral,High Activity,High Activity,High Activity,307855.80341,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,313117.614,10100.568193548386,1.0,1.0,Fear,43.0,Fear,High Activity,High Activity,High Activity,,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,135847.3,2469.9509090909087,0.8363636363636363,0.14545454545454545,Extreme Greed,84.0,Greed,High Activity,High Activity,High Activity,0.0,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0.06,0.06,0.0,0.0,Extreme Greed,81.0,Greed,High Activity,High Activity,High Activity,0.0,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,48513.58,1426.8700000000001,0.0,1.0,Greed,72.0,Greed,High Activity,High Activity,High Activity,3515.031065,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,52028.630000000005,2001.101153846154,0.9615384615384616,0.0,Extreme Greed,75.0,Greed,High Activity,High Activity,High Activity,0.0,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,52066.88,1131.888695652174,0.0,1.0,Extreme Greed,78.0,Greed,High Activity,High Activity,High Activity,2517.787385,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,54584.72,852.88625,0.984375,0.0,Extreme Greed,78.0,Greed,High Activity,High Activity,High Activity,1613.165903,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,112897.91,1913.523898305085,0.2542372881355932,0.7457627118644068,Extreme Greed,81.0,Greed,High Activity,High Activity,High Activity,0.0,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,0.11,0.11,0.0,0.0,Extreme Greed,75.0,Greed,High Activity,High Activity,High Activity,1245.51851,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,341740.77999999997,10051.199411764705,0.6176470588235294,0.38235294117647056,Greed,74.0,Greed,High Activity,High Activity,High Activity,0.0,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,13,36997.54,2845.9646153846156,0.0,1.0,Greed,61.0,Greed,High Activity,High Activity,High Activity,4493.232479,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,17,41490.68,2440.6282352941175,1.0,0.0,Extreme Greed,75.0,Greed,High Activity,High Activity,High Activity,1047.030992,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,39,84021.26999999999,2154.3915384615384,0.717948717948718,0.2564102564102564,Extreme Greed,77.0,Greed,High Activity,High Activity,High Activity,4842.054317,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124,272092.55,2194.294758064516,0.6451612903225806,0.3467741935483871,Extreme Greed,77.0,Greed,High Activity,High Activity,High Activity,1693.493165,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,339,588968.28,1737.369557522124,0.584070796460177,0.415929203539823,Extreme Greed,75.0,Greed,High Activity,High Activity,High Activity,4221.156399,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,54,129509.91,2398.331666666667,0.07407407407407407,0.9259259259259259,Extreme Greed,75.0,Greed,High Activity,High Activity,High Activity,0.0,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,44,66856.49,1519.465681818182,0.0,1.0,Greed,71.0,Greed,High Activity,High Activity,High Activity,6899.2458320000005,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,56,73755.74,1317.0667857142857,1.0,0.0,Greed,72.0,Greed,High Activity,High Activity,High Activity,0.0,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,46,73735.48,1602.9452173913044,0.0,1.0,Greed,72.0,Greed,High Activity,High Activity,High Activity,7372.485101,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,55,81107.93000000001,1474.6896363636365,1.0,0.0,Greed,70.0,Greed,High Activity,High Activity,High Activity,1162.002541,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,78,163388.11,2094.719358974359,0.32051282051282054,0.6794871794871795,Greed,68.0,Greed,High Activity,High Activity,High Activity,6352.452613,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,516,1443682.0,2797.8333333333335,0.45155038759689925,0.5232558139534884,Greed,60.0,Greed,High Activity,High Activity,High Activity,-12346.990829,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,124,75901.55,612.1092741935485,0.0,0.0,Neutral,47.0,Neutral,High Activity,High Activity,High Activity,355.5854,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,159,427297.12,2687.4032704402516,0.7987421383647799,0.1949685534591195,Neutral,46.0,Neutral,High Activity,High Activity,High Activity,1129.8489260000001,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,160,262595.6,1641.2224999999999,0.325,0.675,Neutral,49.0,Neutral,High Activity,High Activity,High Activity,-6820.76955,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,1,82910.81,82910.81,0.0,0.0,Fear,25.0,Fear,High Activity,High Activity,High Activity,0.0,0
